Journal Name,Category & Journal Quartiles
"JOURNAL OF THE AMERICAN COLLEGE OF
NUTRITION",Q3
Conservation Science and Practice,Q2
Balkan Medical Journal,Q2
"CURRENT TOPICS IN MEDICINAL
CHEMISTRY",Q3
CHEMISTRY AND PHYSICS OF LIPIDS,Q2
EvoDevo,Q2
FOOT & ANKLE INTERNATIONAL,Q2
"Frontiers in Pediatrics
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY",Q2
"NUMERICAL METHODS FOR PARTIAL
DIFFERENTIAL EQUATIONS",Q1
"Journal of Analytical Science and
Technology",Q2
Frontiers in Synaptic Neuroscience,Q3
SOCIOLOGIA RURALIS,Q1
GEOGRAPHICAL ANALYSIS,Q2
PALAEOGEOGRAPHY,Q1
"PALAEOCLIMATOLOGY PALAEOECOLOGY
Green Materials",Q2
URBAN GEOGRAPHY JOURNAL OF RESEARCH ON ADOLESCENCE,Q2
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,Q2
Biomedical Optics Express,Q2
EAR AND HEARING,Q1
International Journal of Mechanics and,Q2
Materials in Design,Q3
OPTICS LETTERS,Q2
"CIRP Journal of Manufacturing Science
and Technology",Q3
JOURNAL OF ORAL REHABILITATION,Q2
Journal of Applied Meteorology and Climatology,Q2
Proceedings of the VLDB Endowment,Q2
DRYING TECHNOLOGY,Q2
ACS Earth and Space Chemistry,Q2
JOURNAL OF NUCLEAR MATERIALS,Q1
Journal of Financial Stability,Q2
Future Microbiology,Q3
IEEE COMMUNICATIONS LETTERS,Q2
RESOURCE AND ENERGY ECONOMICS,Q2
Food Science & Nutrition,Q2
Adipocyte,Q3
"International Journal of Climate Change
Strategies and Management",Q3
Integrating Materials and Manufacturing Innovation,Q3
Health Information and Libraries Journal,Q2
DNA AND CELL BIOLOGY,Q2
"Food Additives and Contaminants Part A-
Chemistry Analysis Control Exposure &",Q2
Risk Assessment,Q2
CHEMOTHERAPY,Q3
"UNIVERSITY OF PENNSYLVANIA LAW
REVIEW",Q1
PALAEONTOLOGY,Q1
HEALTH POLICY AND PLANNING,Q2
Journal of Systematics and Evolution,Q2
Frontiers in Neuroanatomy,Q1
G3-Genes Genomes Genetics,Q2
Diabetes & Vascular Disease Research,Q2
ChemMedChem,Q3
JOURNAL OF ORAL PATHOLOGY & MEDICINE,Q2
JOURNAL OF BANKING & FINANCE,Q2
FISHERIES,Q1
Latin American Economic Review,Q2
FRESHWATER BIOLOGY,Q1
NEUROMUSCULAR DISORDERS,Q2
PSYCHIATRISCHE PRAXIS,Q2
SURGICAL CLINICS OF NORTH AMERICA,Q1
JOURNAL OF SOILS AND SEDIMENTS,Q2
GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,Q2
"Porcine Health Management
NONLINEAR PROCESSES IN GEOPHYSICS",Q1
DIFFERENTIATION,Q2
SHOCK,Q2
Neurocritical Care,Q2
Analytical Methods,Q1
"JOURNAL OF EXPERIMENTAL SOCIAL
PSYCHOLOGY",Q2
"Venture Capital
INTERNATIONAL JOURNAL OF REMOTE SENSING",Q2
"Advances in Child Development and
Behavior",Q2
POLYMER COMPOSITES,Q2
"JOURNAL OF ETHNIC AND MIGRATION
STUDIES",Q1
Water,Q2
CLINICS IN GERIATRIC MEDICINE,Q3
"JOURNAL OF CATARACT AND REFRACTIVE
SURGERY",Q2
"Amyotrophic Lateral Sclerosis and
Frontotemporal Degeneration",Q2
Seminars in Oncology Nursing,Q1
COGNITIVE AFFECTIVE & BEHAVIORAL,Q2
NEUROSCIENCE,Q3
HUMAN PATHOLOGY,Q2
JOURNAL OF PUBLIC HEALTH POLICY,Q2
DENTOMAXILLOFACIAL RADIOLOGY,Q2
"IEEE Transactions on Green
Communications and Networking",Q2
Journal of Surgical Education,Q1
"Journal of Racial and Ethnic Health
Disparities",Q2
Current Vascular Pharmacology,Q3
CLINICAL ENDOCRINOLOGY,Q3
Micromachines,Q2
PHOTOCHEMISTRY AND PHOTOBIOLOGY,Q2
Carbon Management,Q3
CHEMPHYSCHEM,Q2
IRRIGATION SCIENCE,Q1
International Journal of Environmental Science and Technology,Q3
"JOURNAL OF PHYSICS G-NUCLEAR AND
PARTICLE PHYSICS",Q2
"Journal of Inorganic and Organometallic
Polymers and Materials",Q2
JOURNAL OF VIRAL HEPATITIS,Q3
TSINGHUA SCIENCE AND TECHNOLOGY,Q2
Race Ethnicity and Education,Q1
JOURNAL OF SYSTEMS AND SOFTWARE,Q2
AGING & MENTAL HEALTH,Q2
"VIROLOGY
CLINICAL AND APPLIED THROMBOSIS- HEMOSTASIS",Q3
ECOLOGICAL MODELLING,Q2
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Q2
Environment and Planning B-Urban,Q2
Analytics and City Science,Q3
CATALYSIS COMMUNICATIONS,Q3
INTERNATIONAL JOURNAL OF,Q2
"INFORMATION TECHNOLOGY & DECISION
MAKING",Q2
Journal of Personalized Medicine,Q2
GOVERNMENT AND OPPOSITION,Q1
"Journal of Natural Fibers
JOURNAL OF SHOULDER AND ELBOW SURGERY",Q1
Strategic Organization,Q3
"JASSS-THE JOURNAL OF ARTIFICIAL
SOCIETIES AND SOCIAL SIMULATION",Q1
International Journal of Agricultural,Q1
Sustainability,Q4
"PSYCHIATRIC QUARTERLY
MICROPROCESSORS AND MICROSYSTEMS",Q2
HEALTH COMMUNICATION,Q2
World Journal of Psychiatry,Q3
JOURNAL OF CAREER ASSESSMENT,Q2
Publications Mathematiques de l IHES,Q1
"EUROPEAN FOOD RESEARCH AND
TECHNOLOGY",Q2
Food Analytical Methods,Q2
Trends in Hearing,Q1
ENERGY JOURNAL,Q2
Frontiers in Neurorobotics,Q2
Channels,Q3
HORMONES AND BEHAVIOR,Q2
Behavioral Sleep Medicine,Q3
"Interdisciplinary Sciences-Computational
Life Sciences",Q2
EXPERIMENTAL AND CLINICAL,Q2
PSYCHOPHARMACOLOGY,Q3
,Q2
IEEE MULTIMEDIA,Q2
"Youth Violence and Juvenile Justice
IEEE TRANSACTIONS ON AEROSPACE AND",Q1
ELECTRONIC SYSTEMS,Q2
Geoscience Data Journal,Q2
Peer-to-Peer Networking and,Q2
Applications,Q2
Cardiology Journal,Q2
JCO Oncology Practice,Q3
DIGESTIVE DISEASES AND SCIENCES,Q3
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,Q3
Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry,Q2
MOLECULAR IMAGING AND BIOLOGY,Q2
"BOLETIN DE LA SOCIEDAD ESPANOLA DE
CERAMICA Y VIDRIO",Q1
"SUPERCONDUCTOR SCIENCE &
TECHNOLOGY",Q2
JOURNAL OF FLUIDS AND STRUCTURES,Q2
Patient-Patient Centered Outcomes,Q2
Research,Q2
EFSA Journal,Q2
OBESITY SURGERY,Q2
"Educational Assessment Evaluation and
Accountability",Q2
"INTERNATIONAL ORTHOPAEDICS
IEEE Access",Q2
Marketing Theory,Q3
JOURNAL OF BACTERIOLOGY,Q3
ENVIRONMENTAL TECHNOLOGY,Q3
"Journal of Global Information
Management",Q2
Cognitive Neurodynamics,Q3
Frontiers in Human Neuroscience,Q2
Frontiers in Veterinary Science,Q1
EUROPEAN JOURNAL OF PROTISTOLOGY,Q3
BOUNDARY-LAYER METEOROLOGY,Q3
JOURNAL OF BEHAVIORAL MEDICINE,Q2
RSC Medicinal Chemistry,Q3
MALARIA JOURNAL,Q2
"IEEE Transactions on Terahertz Science
and Technology",Q2
"International Journal of Social Research
Methodology",Q1
JOURNAL OF DERMATOLOGY,Q2
PATIENT EDUCATION AND COUNSELING,Q1
PARTICLE & PARTICLE SYSTEMS,Q3
CHARACTERIZATION,Q3
JOURNAL OF NEUROSURGERY-SPINE,Q2
JOURNAL OF PHYSICAL CHEMISTRY B,Q3
Journal of Exercise Science & Fitness,Q2
DISEASE MARKERS,Q2
"International Journal of Mental Health
Systems",Q2
ANNALS OF PHARMACOTHERAPY,Q3
"Journal of Infrastructure Systems Journal of Outdoor Recreation and Tourism-Research Planning and
Management",Q2
"AMERICAN JOURNAL OF THE MEDICAL
SCIENCES",Q2
Electronic Commerce Research,Q3
BIOORGANIC & MEDICINAL CHEMISTRY,Q3
CHEMBIOCHEM,Q3
Journal of Taibah University for Science,Q2
DEVELOPMENT AND CHANGE,Q2
"NEPHRON
JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT",Q2
CLINICAL TRANSPLANTATION,Q2
JOURNAL OF THERMAL STRESSES,Q2
STRESS AND HEALTH,Q2
"JOURNAL OF THE AMERICAN DENTAL
ASSOCIATION",Q2
CLINICAL JOURNAL OF SPORT MEDICINE,Q2
"SIGNAL PROCESSING-IMAGE
COMMUNICATION",Q2
"SURGICAL ENDOSCOPY AND OTHER
INTERVENTIONAL TECHNIQUES",Q2
WORLDS POULTRY SCIENCE JOURNAL,Q1
METALS AND MATERIALS INTERNATIONAL,Q2
Fractional Calculus and Applied Analysis,Q1
Geocarto International,Q2
"International Journal of Laboratory
Hematology",Q3
EUROPEAN CYTOKINE NETWORK,Q3
Waste and Biomass Valorization,Q3
"ARCHIVES OF CLINICAL
NEUROPSYCHOLOGY",Q2
Applied Research in Quality of Life,Q1
JOURNAL OF CLUSTER SCIENCE,Q2
Journal of Benefit-Cost Analysis,Q2
"TRANSACTIONS OF THE INSTITUTE OF
BRITISH GEOGRAPHERS",Q2
Social Psychology,Q3
"Journal of Global Information Technology
Management",Q2
JOURNAL OF NONLINEAR SCIENCE,Q1
Leukos,Q2
JOURNAL OF MECHANICAL DESIGN,Q2
QUALITY OF LIFE RESEARCH,Q2
"Journal of Aerosol Medicine and
Pulmonary Drug Delivery",Q3
Practical Radiation Oncology,Q2
FOUNDATIONS OF COMPUTATIONAL,Q1
MATHEMATICS,Q2
Expert Review of Medical Devices,Q3
Journal of Immunotoxicology,Q3
Rhizosphere,Q2
BMC EVOLUTIONARY BIOLOGY,Q2
BIOPROCESS AND BIOSYSTEMS ENGINEERING,Q2
"YALE JOURNAL OF BIOLOGY AND
MEDICINE",Q2
EJNMMI Research,Q2
"Journal of Environmental Health Science
and Engineering",Q3
APPLIED VEGETATION SCIENCE,Q1
"JOURNALISM & MASS COMMUNICATION
QUARTERLY",Q2
Nurse Education in Practice,Q1
PHARMACOLOGY,Q3
INFORMATICA,Q1
PHOTOSYNTHESIS RESEARCH,Q2
APMIS,Q2
"INORGANIC CHEMISTRY
COMMUNICATIONS",Q2
"AERA Open
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE",Q2
MARKETING LETTERS,Q3
Asia Pacific Journal of Human Resources,Q2
IISE Transactions,Q2
JOURNAL OF ANTIBIOTICS,Q2
NEUROPSYCHOLOGY,Q2
INSECT MOLECULAR BIOLOGY,Q1
CLINICAL JOURNAL OF PAIN,Q2
Molecular Medicine Reports,Q3
MOLECULAR PLANT-MICROBE,Q2
"INTERACTIONS
International Journal of Emerging Markets",Q3
REPRODUCTIVE TOXICOLOGY,Q2
"DIGESTIVE DISEASES
International Journal of Computer",Q3
Assisted Radiology and Surgery,Q3
DEVELOPMENTAL NEUROSCIENCE,Q2
JOURNAL OF COGNITIVE NEUROSCIENCE,Q2
"Journal of Contingencies and Crisis
Management",Q3
"Advances in Production Engineering &
Management",Q3
"Journal of Science Education and
Technology",Q2
"Hormones-International Journal of
Endocrinology and Metabolism",Q3
"WORLD JOURNAL OF BIOLOGICAL
PSYCHIATRY",Q3
"Journal of Cloud Computing-Advances
Systems and Applications",Q2
Neurodegenerative Diseases,Q3
"CURRENT OPINION IN NEPHROLOGY AND
HYPERTENSION",Q2
SEIZURE-EUROPEAN JOURNAL OF,Q3
EPILEPSY,Q3
Pediatric Rheumatology,Q2
"AMERICAN JOURNAL OF PHYSICAL
MEDICINE & REHABILITATION",Q1
TESOL QUARTERLY,Q1
Transportmetrica B-Transport Dynamics,Q2
NEOPLASMA,Q3
JOURNAL OF PHYSICS D-APPLIED PHYSICS,Q2
PEDIATRIC DIABETES,Q2
"THEORETICAL AND APPLIED
CLIMATOLOGY",Q3
,Q2
Global Health-Science and Practice,Q2
Agriculture-Basel,Q1
CURRENT DRUG METABOLISM,Q3
"JOURNAL OF LEARNING DISABILITIES
Materials Science and Engineering B-
Advanced Functional Solid-State",Q1
Materials,Q3
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,Q1
ENGINEERING IN LIFE SCIENCES,Q3
Brain and Behavior,Q2
"JOURNAL OF BIOMEDICAL MATERIALS
RESEARCH PART B-APPLIED",Q3
"BIOMATERIALS
World Journal of Gastrointestinal Oncology",Q3
Journal of Ethnobiology and Ethnomedicine,Q2
JOURNAL OF APPLIED PHYCOLOGY,Q1
Medical Anthropology,Q1
"JOURNAL OF THE WORLD AQUACULTURE
SOCIETY",Q1
WOUND REPAIR AND REGENERATION,Q2
INTELLIGENT AUTOMATION AND SOFT COMPUTING,Q2
Language Teaching Research,Q1
Orthopaedic Journal of Sports Medicine,Q2
"International Review of Economics &
Finance",Q2
"INTERNATIONAL JOURNAL OF WILDLAND
FIRE",Q1
Bayesian Analysis,Q1
JOURNAL OF GAMBLING STUDIES,Q2
"Journal of the Chinese Medical
Association",Q2
Minerva Anestesiologica,Q3
Cancer Genomics & Proteomics,Q3
WATER INTERNATIONAL,Q2
"INTEGRATIVE AND COMPARATIVE
BIOLOGY",Q1
"FINANCIAL MANAGEMENT
Georisk-Assessment and Management of
Risk for Engineered Systems and",Q2
Geohazards,Q3
Journal of Biophotonics,Q2
JOURNAL OF VEGETATION SCIENCE,Q1
CLINICAL RADIOLOGY,Q2
"Environmental Communication-A Journal
of Nature and Culture",Q2
"INTERNATIONAL JOURNAL OF FOOD
PROPERTIES",Q2
Annals of Hepatology,Q3
Geriatrics & Gerontology International,Q2
Frontiers in Computational Neuroscience,Q2
"BIOTECHNOLOGY AND BIOPROCESS
ENGINEERING",Q3
MEDICAL SCIENCE MONITOR,Q3
Aquaculture Reports,Q1
Journal of Bridge Engineering,Q2
INTERNATIONAL NURSING REVIEW,Q1
Nature and Science of Sleep,Q3
"GEOGRAPHICAL JOURNAL
JOURNAL OF REINFORCED PLASTICS AND COMPOSITES",Q2
Scandinavian Journal of Management,Q3
Operations Research Perspectives,Q2
MECHATRONICS,Q2
THERMOCHIMICA ACTA,Q2
BIOMETALS,Q3
"RSF-The Russell Sage Journal of the Social
Sciences",Q1
Neurospine,Q2
Journal of Tissue Viability,Q1
JOURNAL OF ASIAN EARTH SCIENCES,Q2
WEATHER AND FORECASTING,Q3
Allergy Asthma and Clinical Immunology,Q3
FATIGUE & FRACTURE OF ENGINEERING,Q2
MATERIALS & STRUCTURES,Q3
PREVENTIVE VETERINARY MEDICINE,Q1
RADIATION RESEARCH,Q2
"Journal of Environmental Planning and
Management",Q2
Cadernos de Saude Publica,Q2
SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,Q1
"Molecular Pain
Journal of Responsible Innovation",Q3
EXPERIMENTAL THERMAL AND FLUID,Q2
SCIENCE,Q2
"Plant Direct
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES",Q2
INTERNATIONAL JOURNAL OF ADAPTIVE,Q2
CONTROL AND SIGNAL PROCESSING,Q2
BMC ECOLOGY,Q2
Cardiovascular Therapeutics,Q2
Chemistry Education Research and Practice,Q2
JOURNAL OF PERSONALITY DISORDERS,Q3
THERAPIE,Q3
JOURNAL OF STRUCTURAL GEOLOGY,Q2
"Journal of Digestive Diseases
JOURNAL OF APPLIED SPORT",Q3
"PSYCHOLOGY
MOLECULAR DIVERSITY",Q3
JMIR Serious Games,Q2
"JOURNAL OF RESEARCH IN CRIME AND
DELINQUENCY",Q1
JOURNAL OF ECONOMETRICS,Q1
EARTH PLANETS AND SPACE,Q2
JOURNAL OF ATMOSPHERIC CHEMISTRY,Q3
"Plant Diversity
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL
GENETICS",Q2
ENVIRONMENTAL HYGIENE,Q2
Current Opinion in Critical Care,Q3
SUPPORTIVE CARE IN CANCER,Q1
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,Q3
PSYCHOLOGY & HEALTH,Q2
JOURNAL OF ASSISTED REPRODUCTION,Q2
AND GENETICS,Q3
ISRAEL JOURNAL OF CHEMISTRY,Q3
"JOURNAL OF THE METEOROLOGICAL
SOCIETY OF JAPAN",Q3
COGNITION AND INSTRUCTION,Q2
Global Public Health,Q2
Reproductive Health,Q2
"Hepatobiliary & Pancreatic Diseases
International",Q3
INTERNATIONAL JOURNAL OF RADIATION,Q1
BIOLOGY,Q3
Processes,Q2
GEOPHYSICAL JOURNAL INTERNATIONAL,Q2
BEHAVIOURAL BRAIN RESEARCH,Q2
JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY,Q3
ACM Transactions on the Web,Q2
CIRCULATION JOURNAL,Q3
Women and Birth,Q1
Papers in Palaeontology,Q1
"POLYMERS FOR ADVANCED
TECHNOLOGIES",Q2
"Research in Social & Administrative
Pharmacy",Q2
"NONPROFIT AND VOLUNTARY SECTOR
QUARTERLY",Q1
"NEUROSURGERY CLINICS OF NORTH
AMERICA",Q2
BLOOD PURIFICATION,Q2
"DEMENTIA AND GERIATRIC COGNITIVE
DISORDERS",Q3
Diagnostic and Interventional Radiology,Q3
Journal of Studies on Alcohol and Drugs,Q2
"EUROPEAN JOURNAL OF APPLIED
PHYSIOLOGY",Q2
Separations,Q2
NURSING ETHICS,Q1
CONNECTIVE TISSUE RESEARCH,Q2
"Frontiers in Neural Circuits
SLAS Discovery",Q3
Clinical and Experimental Otorhinolaryngology,Q1
STRESS-THE INTERNATIONAL JOURNAL,Q2
ON THE BIOLOGY OF STRESS,Q3
Food Biophysics,Q2
Clinical & Translational Oncology,Q3
Democratization,Q1
JOURNAL OF ANIMAL SCIENCE,Q1
"Journal of Civil Structural Health
Monitoring",Q2
MECHANICS OF ADVANCED MATERIALS,Q2
AND STRUCTURES,Q3
Gender in Management,Q1
EPILEPSY & BEHAVIOR,Q2
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,Q3
PLASMA CHEMISTRY AND PLASMA PROCESSING,Q2
Cellular and Molecular Bioengineering,Q3
"TRANSFUSION
Magnetochemistry",Q3
"INTERNATIONAL JOURNAL OF NON-
LINEAR MECHANICS",Q2
"COMPLEMENTARY THERAPIES IN
MEDICINE",Q2
MULTIBODY SYSTEM DYNAMICS,Q2
Brain Sciences,Q3
GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION,Q1
AND INSTITUTIONS,Q2
SINGAPORE MEDICAL JOURNAL,Q2
Science and Medicine in Football,Q2
IMMUNOGENETICS,Q3
SEDIMENTARY GEOLOGY,Q1
BMC BIOTECHNOLOGY,Q3
DENTAL TRAUMATOLOGY,Q2
TRIBOLOGY LETTERS,Q2
INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,Q2
YEAST,Q3
School Mental Health,Q2
AMERICAN JOURNAL OF BOTANY,Q2
Buildings,Q2
BIOCHEMICAL AND BIOPHYSICAL,Q3
RESEARCH COMMUNICATIONS,Q3
"BIOCHEMISTRY
BEHAVIOUR & INFORMATION TECHNOLOGY",Q3
BMC Pulmonary Medicine,Q3
"JOURNAL OF BUSINESS & INDUSTRIAL
MARKETING",Q3
"JOURNAL OF CHROMATOGRAPHY B-
ANALYTICAL TECHNOLOGIES IN THE",Q2
BIOMEDICAL AND LIFE SCIENCES,Q2
HEALTH EXPECTATIONS,Q2
JOURNAL OF COMPUTER INFORMATION SYSTEMS,Q3
Journal of Commodity Markets,Q2
PSYCHOLOGY PUBLIC POLICY AND LAW,Q1
"NURSING OUTLOOK
PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND
NANOTECHNOLOGY",Q1
"ANIMAL FEED SCIENCE AND
TECHNOLOGY",Q1
SEMINARS IN PERINATOLOGY,Q2
DISASTERS,Q1
PHYSICS AND CHEMISTRY OF THE EARTH,Q2
MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY,Q2
"PUBLICATIONS OF THE ASTRONOMICAL
SOCIETY OF JAPAN",Q2
"Transactions on Emerging
Telecommunications Technologies",Q2
CURRENT PHARMACEUTICAL DESIGN,Q3
OUTLOOK ON AGRICULTURE,Q1
PATHOLOGY RESEARCH AND PRACTICE,Q2
JOURNAL OF EXPERIMENTAL BIOLOGY,Q2
BMC BIOINFORMATICS,Q2
Breast Cancer,Q2
"ENVIRONMENTAL MONITORING AND
ASSESSMENT",Q3
WATER ENVIRONMENT RESEARCH,Q1
Comparative Biochemistry and Physiology D-Genomics & Proteomics,Q3
Personality and Mental Health,Q3
BIOLOGY OF THE CELL,Q3
JOURNAL OF FAMILY PSYCHOLOGY,Q1
Annals of General Psychiatry,Q3
ORGANIZATION,Q3
IEEE Transactions on Signal and Information Processing over Networks,Q2
Chinese Journal of International Politics,Q1
Frontiers in Zoology,Q1
ACTA PHARMACEUTICA,Q3
ANGIOLOGY,Q3
"BMC Medical Informatics and Decision
Making",Q3
"OECOLOGIA
INTERNATIONAL JOURNAL OF
IMMUNOPATHOLOGY AND",Q2
PHARMACOLOGY,Q3
MATERIALS TECHNOLOGY,Q3
MOLECULAR BREEDING,Q1
POLICY AND POLITICS,Q1
Cancer Prevention Research INTERNATIONAL JOURNAL OF MANPOWER,Q3
International Journal of Bio-Inspired Computation,Q2
Research in Autism Spectrum Disorders,Q1
OCEAN MODELLING,Q2
PFG-Journal of Photogrammetry Remote Sensing and Geoinformation Science,Q2
COASTAL ENGINEERING JOURNAL,Q2
JOURNAL OF PSYCHOACTIVE DRUGS,Q2
npj Primary Care Respiratory Medicine,Q2
CANCER CHEMOTHERAPY AND,Q3
PHARMACOLOGY,Q3
"BRITISH JOURNAL OF CRIMINOLOGY
INFORMS JOURNAL ON COMPUTING",Q1
JOURNAL OF THE GEOLOGICAL SOCIETY,Q2
JOURNAL OF PEDIATRIC,Q2
GASTROENTEROLOGY AND NUTRITION,Q3
"Italian Journal of Pediatrics
JOURNAL OF ENGINEERING EDUCATION",Q2
CLINICAL CARDIOLOGY,Q3
PLACENTA,Q2
"INTERNATIONAL REVIEW OF PSYCHIATRY
MOLECULAR AND CELLULAR PROBES",Q3
"CONTINUUM MECHANICS AND
THERMODYNAMICS",Q2
American Journal of Cardiovascular Drugs,Q3
Forests,Q1
"ACTA GEOLOGICA SINICA-ENGLISH
EDITION",Q2
"Wiley Interdisciplinary Reviews-
Computational Statistics",Q1
PULMONARY PHARMACOLOGY &,Q3
THERAPEUTICS,Q3
"WORLD JOURNAL OF SURGERY
BRITISH JOURNAL FOR THE PHILOSOPHY",Q2
"OF SCIENCE
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA",Q1
"Journal of Research on Technology in
Education",Q2
Nanomaterials and Nanotechnology,Q2
"JOURNAL OF APPLIED DEVELOPMENTAL
PSYCHOLOGY",Q2
SECURITY DIALOGUE,Q1
NEURAL COMPUTATION,Q3
Transportmetrica A-Transport Science,Q3
"JOURNAL OF POLITICS
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY",Q1
Physica Status Solidi-Rapid Research,Q2
Letters,Q3
BRITISH JOURNAL OF SOCIOLOGY,Q1
European Journal of Population-Revue Europeenne de Demographie,Q2
Journal of the Association for Information Science and Technology,Q2
COGNITIVE AND BEHAVIORAL PRACTICE,Q2
AQUACULTURAL ENGINEERING,Q2
Tissue Engineering Part C-Methods,Q3
Beilstein Journal of Nanotechnology,Q2
EXPERIMENTAL HEAT TRANSFER,Q2
"JOURNAL OF CARDIOVASCULAR
PHARMACOLOGY",Q3
"TERRA NOVA
International Journal of Industrial Engineering Computations",Q2
"JOURNAL OF ANIMAL BREEDING AND
GENETICS",Q1
"European Geriatric Medicine JOURNAL OF CHEMICAL
THERMODYNAMICS",Q3
"BULLETIN OF INDONESIAN ECONOMIC
STUDIES",Q1
FOOD AND AGRICULTURAL,Q2
"IMMUNOLOGY
JOURNAL OF GASTROINTESTINAL SURGERY",Q4
"IEEE TRANSACTIONS ON ULTRASONICS
FERROELECTRICS AND FREQUENCY",Q2
CONTROL,Q2
Australian Critical Care,Q1
Critical Public Health,Q2
Topics in Cognitive Science,Q2
Journal of Flow Chemistry,Q3
BMC NEUROSCIENCE,Q3
"GEOPHYSICS
International Journal of Paediatric Dentistry",Q2
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,Q2
BMC Medical Education,Q2
"BMC Endocrine Disorders
JOURNAL OF THE AMERICAN SOCIETY",Q3
FOR MASS SPECTROMETRY,Q3
"EUROPEAN JOURNAL OF ORGANIC
CHEMISTRY",Q2
"International Journal of Sediment
Research",Q2
Biomicrofluidics,Q2
Brazilian Journal of Infectious Diseases,Q3
Mass Communication and Society,Q2
"THEORY AND RESEARCH IN SOCIAL
EDUCATION",Q2
JOURNAL OF REFRACTIVE SURGERY,Q2
"GENERAL AND COMPARATIVE
ENDOCRINOLOGY",Q3
Cell Adhesion & Migration,Q3
HEALTH POLICY,Q2
AUTONOMOUS ROBOTS,Q3
"PHOTODERMATOLOGY PHOTOIMMUNOLOGY &
PHOTOMEDICINE",Q2
AQUATIC CONSERVATION-MARINE AND,Q1
FRESHWATER ECOSYSTEMS,Q3
World Journal of Surgical Oncology,Q2
"Current Opinion in Allergy and Clinical
Immunology",Q3
Conservation Physiology,Q2
Energies,Q3
COMPUTER SPEECH AND LANGUAGE,Q3
"Frontiers of Structural and Civil
Engineering",Q2
Quaternary Geochronology,Q2
Life-Basel,Q2
Particuology,Q3
"ENGINEERING ANALYSIS WITH
BOUNDARY ELEMENTS",Q1
REMEDIAL AND SPECIAL EDUCATION,Q1
Molecular Imaging,Q3
EXPERIMENTAL HEMATOLOGY,Q3
"Diabetes Metabolic Syndrome and
Obesity-Targets and Therapy",Q3
"INTERNATIONAL JOURNAL OF
BIOLOGICAL MARKERS",Q3
CYTOMETRY PART B-CLINICAL,Q2
CYTOMETRY,Q2
MEDIA CULTURE & SOCIETY,Q1
Political Studies Review,Q1
Utilities Policy,Q3
Progress in Orthodontics,Q2
"HUMAN & EXPERIMENTAL TOXICOLOGY
AMERICAN JOURNAL OF MANAGED CARE",Q3
Biomed Research International,Q3
VETERINARY MICROBIOLOGY,Q1
PHARMACOGENOMICS JOURNAL,Q3
"TURKISH JOURNAL OF BIOLOGY
Synthetic Biology",Q2
Motivation Science,Q2
PANCREAS,Q3
PARASITOLOGY,Q2
PRENATAL DIAGNOSIS,Q2
PLANT GROWTH REGULATION,Q2
Information and Inference-A Journal of the IMA,Q1
SPINE,Q2
JOURNAL OF BIOCHEMISTRY,Q3
"Journal of Chemistry
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-
CURRENT ISSUES",Q3
Pacific-Basin Finance Journal,Q2
"Environmental Research Communications
Coatings",Q3
"EUROPEAN ARCHIVES OF OTO-RHINO-
LARYNGOLOGY",Q2
"CANADIAN PUBLIC POLICY-ANALYSE DE
POLITIQUES",Q2
JOURNAL OF INVESTIGATIVE MEDICINE,Q2
JOURNAL OF STRUCTURAL BIOLOGY,Q3
Drug Testing and Analysis,Q2
JOURNAL OF VACUUM SCIENCE &,Q2
TECHNOLOGY A,Q3
JOURNAL OF CREATIVE BEHAVIOR,Q2
EUROPEAN JOURNAL OF SOIL BIOLOGY,Q2
FOOD SCIENCE AND BIOTECHNOLOGY,Q2
Animals,Q1
"JOURNAL OF DERMATOLOGICAL
TREATMENT",Q2
International Political Sociology,Q1
